FID,the_geom,SRC,STATUS,SYS_ID,YZ_LABEL,YZNM_PY,YZNM_CH,YZNM_FT,AT_TWN_PY,GB10_CNTY,10CNTY_CH,10CNTY_EN,10DIST_CH,10DIST_EN,10PROV_CH,10PROV_EN,CHGIS_ID,long,lat
ming_courier_stations_2014_p8k.25,POINT (106.62294006347656 33.945247650146484),MDYZK,N,26,FENGXIANG Shaanxi (??),FENGXIANG,??,??,,610330,??,Feng,???,Baoji,???,Shaanxi,1618,106.62294,33.94525
ming_courier_stations_2014_p8k.26,POINT (106.31996899999999 35.691391000000024),MDYZK,Y,27,WATING Ningxia (???),WATING,???,???,,640402,???,Yuanzhou,???,Guyuan,???????,Ningxia,1788,106.31997,35.69139
ming_courier_stations_2014_p8k.27,POINT (106.68566131591797 35.53584671020508),MDYZK,Y,28,GAOPING Gansu (???),GAOPING,???,???,,620802,???,Kongtong,???,Pingliang,???,Gansu,180,106.68566,35.53585
ming_courier_stations_2014_p8k.28,POINT (106.70911407470703 26.580778121948242),MDYZK,N,29,HUANGHUA Guizhou (???),HUANGHUA,???,???,Guiyang f,520102,???,Nanming,???,Guiyang,???,Guizhou,428,106.70911,26.58078
ming_courier_stations_2014_p8k.29,POINT (106.7748031616211 33.137901306152344),PA_1903,L,30,MIANXIAN Shaanxi (??),MIANXIAN,??,??,,610725,??,Mian,???,Hanzhong,???,Shaanxi,,106.7748,33.1379
ming_courier_stations_2014_p8k.30,POINT (106.9692611694336 33.20038986206055),MDYZK,Y,31,BAOCHENG Shaanxi (??),BAOCHENG,??,??,,610702,???,Hantai,???,Hanzhong,???,Shaanxi,,106.96926,33.20039
ming_courier_stations_2014_p8k.31,POINT (106.98106384277344 26.458335876464844),MDYZK,Y,32,LONGLI Guizhou (???),LONGLI,???,???,,522730,???,Longli,??????????,Qiannanbuyizumiaozu,???,Guizhou,429,106.98106,26.45834
ming_courier_stations_2014_p8k.32,POINT (107.14038848876953 34.38187026977539),MDYZK,Y,33,CHENCANG Shaanxi (???),CHENCANG,???,???,BAOJI,610303,???,Jintai,???,Baoji,???,Shaanxi,,107.14039,34.38187
ming_courier_stations_2014_p8k.33,POINT (106.97579199999998 35.42941700000002),MDYZK,Y,34,BAISHUI Gansu (???),BAISHUI,???,???,,620802,???,Kongtong,???,Pingliang,???,Gansu,186,106.97579,35.42942
ming_courier_stations_2014_p8k.34,POINT (107.2396240234375 26.58564567565918),MDYZK,Y,35,XINTIAN Guizhou (???),XINTIAN,???,???,,522723,???,Guiding,??????????,Qiannanbuyizumiaozu,???,Guizhou,434,107.23962,26.58565
ming_courier_stations_2014_p8k.35,POINT (107.36338806152344 35.32880783081055),MDYZK,Y,36,WAYUN Gansu (???),WAYUN,???,???,,620821,???,Jingchuan,???,Pingliang,???,Gansu,20027,107.36339,35.32881
ming_courier_stations_2014_p8k.36,POINT (107.62709045410156 34.43963623046875),MDYZK,Y,37,QIZHOU Shaanxi (???),QIZHOU,???,???,,610323,???,Qishan,???,Baoji,???,Shaanxi,856,107.62709,34.43964
ming_courier_stations_2014_p8k.37,POINT (107.78897857666016 26.65831756591797),MDYZK,Y,38,QINGPING Guizhou (???),QINGPING,???,???,,522601,???,Kaili,??????????,Qiandongnanmiaozudongzu,???,Guizhou,960,107.78898,26.65832
ming_courier_stations_2014_p8k.38,POINT (107.78932189941406 35.205440521240234),MDYZK,N,39,YILUYI Shaanxi (???),YILUYI,???,???,,610428,???,Changwu,???,Xianyang,???,Shaanxi,1636,107.78932,35.20544
ming_courier_stations_2014_p8k.39,POINT (107.86849212646484 34.36182403564453),MDYZK,Y,40,FENGQUAN Shaanxi (???),FENGQUAN,???,???,,610324,???,Fufeng,???,Baoji,???,Shaanxi,1634,107.86849,34.36182
ming_courier_stations_2014_p8k.40,POINT (108.0439682006836 34.812747955322266),MDYZK,Y,42,YONG'AN Shaanxi (???),YONG'AN,???,???,,610426,???,Yongshou,???,Xianyang,???,Shaanxi,858,108.04397,34.81275
