id;source;target;label;geom;maj_minor;src
111;159;160;YUXIA Jiangxi (玉峡驿) - JINCHUAN Jiangxi (金川驿);{"type":"MultiLineString","coordinates":[[[115.383399963379,27.759880065918],[115.147277832031,27.553689956665]]]};1;
112;157;873;JISHUIYI Jiangxi (吉水) - BAISHAYI Jiangxi (白沙驿);{"type":"MultiLineString","coordinates":[[[115.093897,27.3275160000001],[115.132247924805,27.2143669128418]]]};1;
113;155;157;LUOCHUAN Jiangxi (螺川驿) - JISHUIYI Jiangxi (吉水);{"type":"MultiLineString","coordinates":[[[115.132247924805,27.2143669128418],[114.97127532959,27.1032390594482]]]};1;
114;153;155;BAIXIAYI Jiangxi (白下驿) - LUOCHUAN Jiangxi (螺川驿);{"type":"MultiLineString","coordinates":[[[114.97127532959,27.1032390594482],[114.894874572754,26.7921028137207]]]};1;
115;150;153;WUYUN Jiangxi (五云驿) - BAIXIAYI Jiangxi (白下驿);{"type":"MultiLineString","coordinates":[[[114.894874572754,26.7921028137207],[114.779678344727,26.4617691040039]]]};1;
116;154;875;SHUIXIYI Jiangxi (水西驿) - YOUZHENYI Jiangxi (攸镇驿);{"type":"MultiLineString","coordinates":[[[114.905495,26.1298120000001],[114.932479858398,25.8470001220704]]]};1;
117;148;154;NANYE Jiangxi (南埜驿) - SHUIXIYI Jiangxi (水西驿);{"type":"MultiLineString","coordinates":[[[114.932479858398,25.8470001220703],[114.745162963867,25.6585712432861]]]};1;
118;148;876;NANYE Jiangxi (南埜驿) - XIAOXIYI Jiangxi (小溪驿);{"type":"MultiLineString","coordinates":[[[114.745162963867,25.6585712432862],[114.550178000074,25.4853459999677]]]};1;
119;133;138;LINGJIANG Guangdong (凌江驿) - HENGPUYI Jiangxi (横浦驿);{"type":"MultiLineString","coordinates":[[[114.350570678711,25.3999538421631],[114.302085876465,25.1188430786133]]]};1;1903 atlas
120;133;362;LINGJIANG Guangdong (凌江驿) - SHIXING Guangdong (始兴);{"type":"MultiLineString","coordinates":[[[114.302085876465,25.1188430786133],[114.063148,24.945763]]]};1;1903 atlas
121;101;109;ANYUAN Guangdong (安远驿) - YINGDE Guangdong (英德);{"type":"MultiLineString","coordinates":[[[113.402076721191,24.1729373931885],[113.022132873535,23.7207279205322]]]};1;1903 atlas
122;96;101;XI'NAN Guangdong (西南驿) - ANYUAN Guangdong (安远驿);{"type":"MultiLineString","coordinates":[[[113.022132873535,23.7207279205322],[112.886070251465,23.1658687591553]]]};1;
123;96;104;XI'NAN Guangdong (西南驿) - WUYANG Guangdong (五羊驿);{"type":"MultiLineString","coordinates":[[[112.886070251465,23.1658687591553],[113.256065368652,23.1346244812012]]]};1;
124;120;127;XINZHONG Henan (新中驿) - WEIYUANYI Henan (卫源驿);{"type":"MultiLineString","coordinates":[[[114.070266723633,35.4103851318359],[113.86824798584,35.3099403381348]]]};1;
125;115;579;GUANCHENGYI Henan (管城驿) - SUNINGYI Henan (索亭驿);{"type":"MultiLineString","coordinates":[[[113.534416,34.8743630000001],[113.641311645508,34.7580757141113]]]};1;1903 atlas
126;115;118;GUANCHENGYI Henan (管城驿) - GUODIAN Henan (郭店驿);{"type":"MultiLineString","coordinates":[[[113.641311645508,34.7580757141113],[113.719085693359,34.3973236083984]]]};1;MDYZK
127;123;124;LINYING Henan (临颖驿) - YANCHENG Henan (郾城驿);{"type":"MultiLineString","coordinates":[[[113.960639953613,33.8086051940918],[113.965698242188,33.5822105407715]]]};1;MDYZK
128;124;125;YANCHENG Henan (郾城驿) - XIPING Henan (西平驿);{"type":"MultiLineString","coordinates":[[[113.965698242188,33.5822105407715],[114.015533447266,33.3890571594238]]]};1;MDYZK
129;125;584;XIPING Henan (西平驿) - SHANGCAIYI Henan (上蔡驿);{"type":"MultiLineString","coordinates":[[[114.015533447266,33.3890571594239],[114.259353,33.2672390000001]]]};1;MDYZK
